TrialNumber,Average gross pay,HC bearing gross rock volume,HC pore volume,HC water contact - result,Productive area,Recoverable.Accumulation size Total Resources
9487,36.6881,103.517,11.4446,3503.22,2.82155,13.1932
2728,43.1543,126.065,12.2137,3506.91,2.92126,14.6017
1836,39.5321,124.992,11.9985,3515.82,3.16178,14.4384
7130,40.4218,186.437,15.0312,3557.62,4.61229,17.9749
1649,40.9415,76.0403,8.13365,3462.14,1.85729,9.5686
4306,39.6063,111.06,12.7182,3502.57,2.8041,14.5173
6682,34.2323,109.007,12.6923,3516.65,3.18434,15.0481
4911,38.0033,124.649,12.8704,3520.17,3.27996,14.6257
7720,38.698,106.117,12.5583,3500.28,2.74217,14.3781
3614,44.1699,127.469,13.1581,3505.6,2.88588,15.4143
1026,34.839,113.443,13.4723,3519.32,3.25621,15.4374
2775,37.3497,122.482,12.7673,3520.15,3.27933,15.4199
7640,36.5159,115.107,10.3607,3515.46,3.15224,12.1773
9448,40.6299,63.6661,7.59173,3434.33,1.56698,8.99835
2788,38.9046,141.122,12.6464,3531.21,3.6274,13.2083
1597,41.9771,141.225,13.4622,3522.9,3.36433,15.4442
2683,45.7661,77.2928,7.66801,3448.59,1.68887,9.10504
3549,37.0909,125.942,12.8074,3523.91,3.3955,14.6195
2692,31.9849,86.1982,10.313,3498.54,2.69497,12.4494
8597,37.1761,105.048,10.6044,3503.37,2.8257,12.69
9782,41.8598,69.3639,7.86411,3445.11,1.65705,8.64356
7228,35.2971,164.606,13.1072,3558.99,4.66346,15.0868
6451,41.1785,133.768,12.795,3519.03,3.24851,14.0812
200,37.1531,213.325,19.1639,3596.49,5.74178,20.2537
7622,38.8385,143.225,12.9442,3532.89,3.6877,14.6247
15,45.082,98.6748,12.0975,3477.84,2.18878,14.8311
4332,35.8305,111.923,13.2421,3514.41,3.12368,15.4076
6298,35.011,116.935,13.1074,3522.11,3.33993,15.3687
5704,44.4363,92.5039,10.2134,3473.82,2.08172,11.5936
327,40.7235,142.791,13.5504,3527.5,3.50634,14.9883
9217,38.6498,128.294,13.1346,3521.45,3.31939,15.281
4634,44.3879,78.9298,8.9521,3456.26,1.77818,10.158
